Model,Val Loss,Val IoU(no-bg),Val Acc,Test Loss,Test IoU(no-bg),Test Acc
DeepLabV3Plus,0.22614221274852753,0.5440842509269714,0.9530614614486694,0.24256902933120728,0.5105078816413879,0.9486536383628845
BiSeNetV2,0.2627371847629547,0.5082400441169739,0.9567438364028931,0.2826206088066101,0.4656437635421753,0.95563805103302
UNet,0.27079686522483826,0.46770521998405457,0.936042070388794,0.28066760301589966,0.44861292839050293,0.9366499185562134
FCN,0.2865000367164612,0.4564008116722107,0.9138059616088867,0.30330297350883484,0.42420288920402527,0.9135686159133911
SegNet,0.38867002725601196,0.332776814699173,0.8765244483947754,0.40495070815086365,0.3032703697681427,0.8766659498214722
